dataset_name,model_name,batch_size,weight_decay,learning_rate,epoch2loss,best_epoch,best_loss,fix_noiselevel,init_noiselevel,dropout_prob
protein-tertiary-structure,noisyFCN,32,0.01,0.0005,"{0: 0.6566376562624812, 10: 0.6037887003062551, 20: 0.597873931147283, 30: 0.5956629836681312, 40: 0.593274400107663, 50: 0.5925345543151624, 60: 0.5922296169577118, 70: 0.591697276400293, 80: 0.5908970007744117, 90: 0.5908997109235459, 100: 0.5910289869265704, 110: 0.5907341942423998, 120: 0.589672108439604, 130: 0.5902618259241812, 140: 0.589926656490616, 150: 0.5898384085566074}",120,0.589672108439604,0.01,0.001,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.0005,"{0: 0.6563926821645898, 10: 0.6058843569301914, 20: 0.5981870345985886, 30: 0.5957389080817149, 40: 0.5938720553986656, 50: 0.5924749895257804, 60: 0.5918895402020539, 70: 0.5917167491487879, 80: 0.5910040209178137, 90: 0.5904991278164089, 100: 0.5901892317866384, 110: 0.5894389526608693, 120: 0.5888830415139992, 130: 0.588750423103191, 140: 0.5889776827079272, 150: 0.5887202654450991, 160: 0.5889944020996578, 170: 0.5888204704658934, 180: 0.5887895560604196}",150,0.5887202654450991,0.01,0.005,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.0005,"{0: 0.6590884392605276, 10: 0.6067282562750375, 20: 0.5998073307050761, 30: 0.5967264028233952, 40: 0.5946279690316667, 50: 0.5936326193042042, 60: 0.5928687666441016, 70: 0.5923371029618351, 80: 0.5921206102913124, 90: 0.5913564492563371, 100: 0.5913575083935294, 110: 0.5911994816466001, 120: 0.5916595048396589, 130: 0.590775057281124, 140: 0.5910595864982563, 150: 0.5904693694340916, 160: 0.5907428616683449, 170: 0.590328966513016, 180: 0.5901149820656211, 190: 0.5901710269258004, 200: 0.5892425759871955, 210: 0.5894825569248011, 220: 0.5894639606732983, 230: 0.5888592306760552, 240: 0.5892178370065407, 250: 0.5892662054948222, 260: 0.5889424351459385}",230,0.5888592306760552,0.01,0.01,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.0005,"{0: 0.6610445884551343, 10: 0.6067278379221537, 20: 0.5997929607832051, 30: 0.5960765849674943, 40: 0.5935342566868095, 50: 0.5919901339868276, 60: 0.5909181516920231, 70: 0.5900345874979405, 80: 0.5888383828464127, 90: 0.5887042693733829, 100: 0.5882968136659895, 110: 0.5884795745271072, 120: 0.587908050885284, 130: 0.5876469364033019, 140: 0.5878550780621362, 150: 0.5872553031122894, 160: 0.5875216508955943, 170: 0.5877238223841108, 180: 0.5877405308580163}",150,0.5872553031122894,0.01,0.05,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.0005,"{0: 0.6596594693497535, 10: 0.6057378922445131, 20: 0.5994593772006134, 30: 0.5957382946181001, 40: 0.5945454782054327, 50: 0.5931981664277115, 60: 0.5925427988284534, 70: 0.5912574872633295, 80: 0.591101230865607, 90: 0.5902796886493076, 100: 0.590181547622899, 110: 0.5900945546847581, 120: 0.5898991186444118, 130: 0.5896746670208003, 140: 0.5894607319681766, 150: 0.5894185306954702, 160: 0.5893334667811384, 170: 0.5893964192934156, 180: 0.5888624133405307, 190: 0.5890748148282224, 200: 0.5889398773936512, 210: 0.5885431915797364, 220: 0.5889097986059363, 230: 0.5889298446943403, 240: 0.5890561962974046}",210,0.5885431915797364,0.01,0.1,0.01
