dataset_name,model_name,batch_size,weight_decay,learning_rate,epoch2loss,best_epoch,best_loss,fix_noiselevel,init_noiselevel,dropout_prob
protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.002,"{0: 0.6235414478111183, 10: 0.5054283288929634, 20: 0.49429354265451286, 30: 0.4804653140607417, 40: 0.48472792645398516, 50: 0.47587136559727067, 60: 0.47633740847117806, 70: 0.47273487134957975, 80: 0.47125529301617347, 90: 0.47180153772716105, 100: 0.4773281572196428, 110: 0.4675738350295255, 120: 0.4698336264781967, 130: 0.4787378413378547, 140: 0.47243997449684444}",110,0.4675738350295255,0.05,0.01,0.01
protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.002,"{0: 0.6244964735609726, 10: 0.5160244425402591, 20: 0.4942748047238109, 30: 0.4890618083704726, 40: 0.4798078346260227, 50: 0.4895748512962978, 60: 0.48925867861974304, 70: 0.4854401984408054}",40,0.4798078346260227,0.1,0.01,0.01
