dataset_name,model_name,batch_size,weight_decay,learning_rate,epoch2loss,best_epoch,best_loss,fix_noiselevel,init_noiselevel,dropout_prob
wine-quality-red,FCN,32,0.1,0.0001,"{0: 0.9443953061980359, 10: 0.690781386243362, 20: 0.6491983485163427, 30: 0.6379455370967294, 40: 0.6324878355831492, 50: 0.6290573762649414, 60: 0.626370912740628, 70: 0.6241519943610125, 80: 0.6223257334121302, 90: 0.6209265709127866, 100: 0.6198598797414817, 110: 0.619000409289318, 120: 0.6183711916821844, 130: 0.6179706678349598, 140: 0.6176850571848599, 150: 0.6173820056810099, 160: 0.617142908926688, 170: 0.6168703348759342, 180: 0.616581897200907, 190: 0.6163983799809334, 200: 0.6162311680468859, 210: 0.6160660168499339, 220: 0.6159622190717389, 230: 0.6159015818086325, 240: 0.6159136856508021, 250: 0.6159385825342991, 260: 0.6159869111022529}",230,0.6159015818086325,0.01,0.01,0.01
wine-quality-red,FCN,32,0.1,0.0005,"{0: 0.7757704770506597, 10: 0.6331647014179651, 20: 0.6240283771648126, 30: 0.6205971400235214, 40: 0.6184296440289301, 50: 0.617432204967036, 60: 0.617209338089999, 70: 0.6171915884315967, 80: 0.6171895318025468, 90: 0.6171473781764507, 100: 0.617196324955599, 110: 0.6171277996751607, 120: 0.6170544803814562, 130: 0.617184344968375, 140: 0.617230530664617, 150: 0.6172249994996716}",120,0.6170544803814562,0.01,0.01,0.01
wine-quality-red,FCN,32,0.1,0.002,"{0: 0.6612036734644104, 10: 0.6330384015218884, 20: 0.6286421138837057, 30: 0.6266026893228877, 40: 0.6254279496213969, 50: 0.6245804975342517, 60: 0.6242351163368599, 70: 0.6234447356240422, 80: 0.6232690631700497, 90: 0.6236837407625189, 100: 0.6228978669906364, 110: 0.6229460976228994, 120: 0.6231582728758747, 130: 0.6232395449748227}",100,0.6228978669906364,0.01,0.01,0.01
wine-quality-red,FCN,32,0.01,0.0001,"{0: 0.9476095190907227, 10: 0.6384341298803395, 20: 0.6144675553107962, 30: 0.6065602529779369, 40: 0.6033076283744737, 50: 0.6017547615865866, 60: 0.600809144599765, 70: 0.6002798272903058, 80: 0.6000246849626887, 90: 0.5999328733893001, 100: 0.5999734163518046, 110: 0.6000508994068585, 120: 0.6000703489926515}",90,0.5999328733893001,0.01,0.01,0.01
wine-quality-red,FCN,32,0.01,0.0005,"{0: 0.7246185638536425, 10: 0.6018483596747997, 20: 0.6000784498774537, 30: 0.6020022585374468, 40: 0.6038655117563173, 50: 0.6059032462829468}",20,0.6000784498774537,0.01,0.01,0.01
wine-quality-red,FCN,32,0.01,0.002,"{0: 0.6356440982427083, 10: 0.6110750234360788, 20: 0.618656827871706, 30: 0.6220565646916043, 40: 0.626393299953026}",10,0.6110750234360788,0.01,0.01,0.01
wine-quality-red,FCN,32,0.001,0.0001,"{0: 0.9224798816880758, 10: 0.6331668855045356, 20: 0.6139689625682785, 30: 0.6066514889662172, 40: 0.6043471496070133, 50: 0.6040925348447819, 60: 0.604664843900531, 70: 0.6055891157569839, 80: 0.6067849923611857}",50,0.6040925348447819,0.01,0.01,0.01
wine-quality-red,FCN,32,0.001,0.0005,"{0: 0.7317659225709299, 10: 0.6084342897025978, 20: 0.6069950572094497, 30: 0.6106527215972835, 40: 0.6142270428088366, 50: 0.6183152861659433}",20,0.6069950572094497,0.01,0.01,0.01
wine-quality-red,FCN,32,0.001,0.002,"{0: 0.6504680273433526, 10: 0.6220843182416523, 20: 0.6388013871744567, 30: 0.6699152941066845, 40: 0.6977367928478063}",10,0.6220843182416523,0.01,0.01,0.01
wine-quality-red,FCN,32,0.0001,0.0001,"{0: 0.9275155303671079, 10: 0.6370654262339368, 20: 0.6132829846061912, 30: 0.6050521835509468, 40: 0.6013069279433465, 50: 0.5991584804712557, 60: 0.5981316426630114, 70: 0.5977273188005475, 80: 0.597426401996145, 90: 0.5973569238624152, 100: 0.597571352571249, 110: 0.598000367012094, 120: 0.5988834419554354}",90,0.5973569238624152,0.01,0.01,0.01
wine-quality-red,FCN,32,0.0001,0.0005,"{0: 0.7267949093556871, 10: 0.6033428326979571, 20: 0.6061595553539547, 30: 0.6142085699152713, 40: 0.6250899104657126}",10,0.6033428326979571,0.01,0.01,0.01
wine-quality-red,FCN,32,0.0001,0.002,"{0: 0.6294591920925121, 10: 0.6258670794321042, 20: 0.6439338799230023, 30: 0.6808714031851759, 40: 0.7285043535074767}",10,0.6258670794321042,0.01,0.01,0.01
wine-quality-red,FCN,32,1e-05,0.0001,"{0: 0.9212097686821339, 10: 0.6347848403892097, 20: 0.6159482644761309, 30: 0.6089743653261194, 40: 0.6060376205952729, 50: 0.6048960084190556, 60: 0.6048606544382432, 70: 0.6048323974510034, 80: 0.605370116803576, 90: 0.6059229816321064, 100: 0.6064964265741554}",70,0.6048323974510034,0.01,0.01,0.01
wine-quality-red,FCN,32,1e-05,0.0005,"{0: 0.7287072373838985, 10: 0.6029165474252374, 20: 0.6038819652941881, 30: 0.6098175221710813, 40: 0.6180459044610753}",10,0.6029165474252374,0.01,0.01,0.01
wine-quality-red,FCN,32,1e-05,0.002,"{0: 0.639546058508111, 10: 0.6305547707834664, 20: 0.6516638945627446, 30: 0.6886078137568399, 40: 0.738798737023391}",10,0.6305547707834664,0.01,0.01,0.01
wine-quality-red,FCN,32,1e-09,0.0001,"{0: 0.9257812976720287, 10: 0.6400395790735881, 20: 0.615500509122423, 30: 0.6051988411066579, 40: 0.600624915554243, 50: 0.5988622959893124, 60: 0.598460293964428, 70: 0.598530967539432, 80: 0.5991737916247517, 90: 0.600021538848386}",60,0.598460293964428,0.01,0.01,0.01
wine-quality-red,FCN,32,1e-09,0.0005,"{0: 0.7329088106108647, 10: 0.6092217352752592, 20: 0.6147919566023583, 30: 0.6255079787268358, 40: 0.6359161182069311}",10,0.6092217352752592,0.01,0.01,0.01
wine-quality-red,FCN,32,1e-09,0.002,"{0: 0.6438717796726554, 10: 0.6261942523308829, 20: 0.6557477906375538, 30: 0.693598958890812, 40: 0.744795929649297}",10,0.6261942523308829,0.01,0.01,0.01
