dataset_name,model_name,batch_size,weight_decay,learning_rate,epoch2loss,best_epoch,best_loss,fix_noiselevel,init_noiselevel,dropout_prob
protein-tertiary-structure,noisyFCN,32,0.01,0.002,"{0: 0.6593113329811955, 10: 0.6147817560369034, 20: 0.6063783659990892, 30: 0.606894307908316, 40: 0.6064344823272984, 50: 0.6025904137838297, 60: 0.6029671374311036, 70: 0.60263043467311, 80: 0.6020660398502621, 90: 0.6034304244410501, 100: 0.6024575445645326, 110: 0.6013062541047964, 120: 0.6009552240358481, 130: 0.6021214625420644, 140: 0.6012497255720668, 150: 0.600919080982455, 160: 0.6025594050150076, 170: 0.6017505904232912, 180: 0.6019897562454706}",150,0.600919080982455,0.01,0.001,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.002,"{0: 0.6605074223620686, 10: 0.6149351297871235, 20: 0.6084214642589052, 30: 0.6068184903549344, 40: 0.6043669751045206, 50: 0.604722382587927, 60: 0.6033231608692874, 70: 0.6040314804244676, 80: 0.6039975903027105, 90: 0.6031773015611008, 100: 0.6030965860226366, 110: 0.6037024416704986, 120: 0.6033431462105758, 130: 0.6023252155142581, 140: 0.6033552097859124, 150: 0.6036234267072909, 160: 0.6030889369303913}",130,0.6023252155142581,0.01,0.005,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.002,"{0: 0.6616265002948678, 10: 0.6153853925130607, 20: 0.6073436055263517, 30: 0.6058412271983913, 40: 0.6058107814026312, 50: 0.6050041904205976, 60: 0.6050783663865817, 70: 0.6046735803810174, 80: 0.6028695200832787, 90: 0.6029834985981266, 100: 0.6035718832283282, 110: 0.6041391731013779}",80,0.6028695200832787,0.01,0.01,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.002,"{0: 0.6599294613989868, 10: 0.6100151324297467, 20: 0.6074594128012516, 30: 0.6074127669112689, 40: 0.6057266136004497, 50: 0.6060388193792414, 60: 0.6047680895767187, 70: 0.6048749288409245, 80: 0.6050729618145925, 90: 0.6040964569407496, 100: 0.6032857248056955, 110: 0.6039154479887161, 120: 0.6036761893835754, 130: 0.6030196085195292, 140: 0.6018475387493696, 150: 0.602143737105858, 160: 0.6029290415273857, 170: 0.602632047253328}",140,0.6018475387493696,0.01,0.05,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.002,"{0: 0.6641239614976746, 10: 0.6138514067083739, 20: 0.6082106004183039, 30: 0.6050927788555633, 40: 0.6041998033350362, 50: 0.6023619273121756, 60: 0.6019824564805181, 70: 0.6015466669034162, 80: 0.6006572698714778, 90: 0.60228312800008, 100: 0.600647426569378, 110: 0.5998275777472447, 120: 0.5999253911552695, 130: 0.6010390678992326, 140: 0.6006801125621848}",110,0.5998275777472447,0.01,0.1,0.01
