dataset_name,model_name,batch_size,weight_decay,learning_rate,epoch2loss,best_epoch,best_loss,fix_noiselevel,init_noiselevel,dropout_prob
protein-tertiary-structure,noisyFCN,32,0.01,0.001,"{0: 0.6553574823660284, 10: 0.6073767295059376, 20: 0.6003393834400439, 30: 0.5985781563419097, 40: 0.5968872644780739, 50: 0.5959783579205645, 60: 0.5949318695653666, 70: 0.5946970363095199, 80: 0.5945085877978957, 90: 0.5949701089797118, 100: 0.5949054764765236, 110: 0.5943467345259226, 120: 0.594438497933055, 130: 0.593319108668272, 140: 0.5935483359081724, 150: 0.5940397971970666, 160: 0.5942434426852389}",130,0.593319108668272,0.01,0.001,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.001,"{0: 0.6555986000492806, 10: 0.6069969667329478, 20: 0.5995461962960943, 30: 0.5987295269424081, 40: 0.5975858096567396, 50: 0.594243946239798, 60: 0.5937024223096038, 70: 0.5939239744598636, 80: 0.5935043388787244, 90: 0.593020162439367, 100: 0.5929117767175057, 110: 0.5921190251230526, 120: 0.5922663368766328, 130: 0.5930296989498516, 140: 0.5924612721863828}",110,0.5921190251230526,0.01,0.005,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.001,"{0: 0.6536485143668238, 10: 0.6064428096730758, 20: 0.6016305191139948, 30: 0.5999171077203161, 40: 0.5978990081117233, 50: 0.5974231535471, 60: 0.5974763115645103, 70: 0.5968780088036307, 80: 0.5958320394745449, 90: 0.5958921293377025, 100: 0.5954390854725383, 110: 0.5954343260446373, 120: 0.5954787039280601, 130: 0.5958981629777711, 140: 0.5951955871637414, 150: 0.5949504849167868, 160: 0.594736246683644, 170: 0.5949356082513048, 180: 0.5945935489985134, 190: 0.5947841216317091, 200: 0.594287622068178, 210: 0.595105760540193, 220: 0.5939229436664628, 230: 0.5941404519365661, 240: 0.5950044572952283, 250: 0.5940683536806273}",220,0.5939229436664628,0.01,0.01,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.001,"{0: 0.6558095812128006, 10: 0.6048278424030187, 20: 0.5986471355323278, 30: 0.5971277559294494, 40: 0.5952976892042574, 50: 0.5950529791740742, 60: 0.5937114496856063, 70: 0.5941242941164223, 80: 0.5931034517058811, 90: 0.593716199911794, 100: 0.5934393850519747, 110: 0.5939445988612594}",80,0.5931034517058811,0.01,0.05,0.01
protein-tertiary-structure,noisyFCN,32,0.01,0.001,"{0: 0.6519808068044805, 10: 0.608118144302696, 20: 0.6021869771989259, 30: 0.5996685088280337, 40: 0.5980585437382124, 50: 0.5961848707325222, 60: 0.5951238785020132, 70: 0.595219828974493, 80: 0.5946092889106994, 90: 0.5947816666588113, 100: 0.5940361718048703, 110: 0.5937592336092916, 120: 0.5947039208992385, 130: 0.5945590013832891, 140: 0.5934426593565989, 150: 0.5934246134493899, 160: 0.5936330685893205, 170: 0.5939094714604206, 180: 0.5938649100690182}",150,0.5934246134493899,0.01,0.1,0.01
