,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
3735,kin8nm,dropoutFCN,32,0.1,0.002,0.1,0.01,0.01
3736,kin8nm,dropoutFCN,32,0.1,0.002,0.1,0.01,0.005
3737,kin8nm,noisyFCN,32,0.0001,0.002,0.01,0.001,0.01
3738,kin8nm,dropoutFCN,32,0.1,0.002,0.1,0.01,0.001
3739,kin8nm,noisyFCN,32,0.0001,0.002,0.01,0.005,0.01
3740,power-plant,noisyFCN,32,1e-09,0.0005,0.01,0.01,0.01
3741,kin8nm,dropoutFCN,32,0.01,0.0001,0.1,0.01,0.2
3742,kin8nm,noisyFCN,32,0.0001,0.002,0.01,0.01,0.01
3743,kin8nm,dropoutFCN,32,0.01,0.0001,0.1,0.01,0.1
3744,kin8nm,noisyFCN,32,0.0001,0.002,0.01,0.05,0.01
3745,kin8nm,dropoutFCN,32,0.01,0.0001,0.1,0.01,0.05
3746,kin8nm,noisyFCN,32,0.0001,0.002,0.01,0.1,0.01
