,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
4289,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.0005,0.1,0.01,0.01
4292,protein-tertiary-structure,noisyFCN,32,0.1,0.0005,0.01,0.005,0.01
4293,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.001,0.001,0.01,0.01
4295,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.001,0.005,0.01,0.01
4297,protein-tertiary-structure,noisyFCN,32,0.1,0.0005,0.01,0.01,0.01
4299,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.001,0.01,0.01,0.01
4300,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.001,0.05,0.01,0.01
4301,protein-tertiary-structure,noisyFCN,32,0.1,0.0005,0.01,0.05,0.01
4303,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.001,0.1,0.01,0.01
4305,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.002,0.001,0.01,0.01
4307,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.002,0.005,0.01,0.01
4308,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.002,0.01,0.01,0.01
4310,protein-tertiary-structure,noisyFCN,32,0.1,0.0005,0.01,0.1,0.01
4311,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.002,0.05,0.01,0.01
4313,protein-tertiary-structure,fixnoiseFCN,32,0.001,0.002,0.1,0.01,0.01
4314,protein-tertiary-structure,noisyFCN,32,0.1,0.001,0.01,0.001,0.01
4316,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0001,0.001,0.01,0.01
4317,protein-tertiary-structure,noisyFCN,32,0.1,0.001,0.01,0.005,0.01
4319,protein-tertiary-structure,noisyFCN,32,0.1,0.001,0.01,0.01,0.01
4321,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0001,0.005,0.01,0.01
4324,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0001,0.01,0.01,0.01
4325,protein-tertiary-structure,noisyFCN,32,0.1,0.001,0.01,0.05,0.01
4327,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0001,0.05,0.01,0.01
4328,protein-tertiary-structure,noisyFCN,32,0.1,0.001,0.01,0.1,0.01
4329,protein-tertiary-structure,noisyFCN,32,0.1,0.002,0.01,0.001,0.01
4331,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0001,0.1,0.01,0.01
4332,protein-tertiary-structure,noisyFCN,32,0.1,0.002,0.01,0.005,0.01
4334,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0005,0.001,0.01,0.01
4335,protein-tertiary-structure,noisyFCN,32,0.1,0.002,0.01,0.01,0.01
4336,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0005,0.005,0.01,0.01
4337,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0005,0.01,0.01,0.01
4339,protein-tertiary-structure,noisyFCN,32,0.1,0.002,0.01,0.05,0.01
4340,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0005,0.05,0.01,0.01
4341,protein-tertiary-structure,noisyFCN,32,0.1,0.002,0.01,0.1,0.01
4343,protein-tertiary-structure,fixnoiseFCN,32,0.0001,0.0005,0.1,0.01,0.01
